account_id,created_date,account_balance,login_count,email_address,segment_id,satisfaction_score
ACC-000266,2022-06-09,6503.21,14,uaeingxu@outlook.com,SEG04,2.87
ACC-000267,2022-11-03,9036.95,136,cqrhf@gmail.com,SEG03,8.43
ACC-000268,2023-10-14,7392.88,9,npxugov@gmail.com,SEG03,2.76
ACC-000269,2024-05-31,4666.55,3,flwweq@yahoo.com,SEG02,3.55
ACC-000270,2023-04-20,3960.75,190,tfovfjs@corp.io,SEG04,1.77
ACC-000271,2023-08-03,1928.13,134,szkidf@outlook.com,SEG03,1.71
ACC-000272,2024-01-03,7778.53,39,zsiqxb@gmail.com,SEG02,4.08
ACC-000273,2022-11-27,6052.15,133,rmdbhhuw@yahoo.com,SEG04,6.24
ACC-000274,2024-04-10,7476.56,102,smcbuooh@outlook.com,SEG04,3.22
ACC-000275,2024-04-03,6121.44,180,miuyp@gmail.com,SEG04,9.48
ACC-000276,2022-07-08,8552.26,24,rtwjmkz@corp.io,SEG03,7.22
ACC-000277,2022-02-02,3207.32,1,smwqb@corp.io,SEG02,2.39
ACC-000278,2022-02-24,3680.71,96,xhli@corp.io,SEG04,5.6
ACC-000279,2023-02-13,769.84,15,ewwup@gmail.com,SEG02,3.18
ACC-000280,2022-01-29,4063.86,164,qsjdt@corp.io,SEG02,5.55
ACC-000281,2022-07-22,2844.55,106,ziexprwa@corp.io,SEG03,1.38
ACC-000282,2022-04-28,3037.2,171,saegubpt@outlook.com,SEG04,5.17
ACC-000283,2023-03-23,2919.8,14,jztmdx@gmail.com,SEG04,1.1
ACC-000284,2022-11-12,3844.65,100,gvfosjfz@outlook.com,SEG01,9.74
ACC-000285,2022-09-13,8698.45,98,qckpl@gmail.com,SEG04,1.96
ACC-000286,2022-02-06,5236.77,114,ompevj@corp.io,SEG03,6.67
ACC-000287,2023-09-13,8043.7,179,tlmmw@outlook.com,SEG03,8.35
ACC-000288,2024-01-04,748.83,35,owwtarj@yahoo.com,SEG01,6.42
ACC-000289,2022-02-01,2896.63,23,tfai@outlook.com,SEG03,3.14
ACC-000290,2022-09-13,6499.93,0,xpplvvfl@corp.io,SEG03,8.72
ACC-000291,2024-10-02,7834.42,122,hsriabo@outlook.com,SEG05,9.94
ACC-000292,2024-03-11,1158.98,198,lwtslrx@corp.io,SEG05,2.0
ACC-000293,2024-05-30,7728.55,99,epcm@gmail.com,SEG02,8.72
ACC-000294,2024-01-09,4581.87,5,mffyg@gmail.com,SEG04,7.6
ACC-000295,2023-07-16,6232.81,20,tsosmcp@corp.io,SEG03,8.37
ACC-000296,2024-07-22,3087.0,45,mqttg@corp.io,SEG03,1.78
ACC-000297,2022-01-30,4417.93,79,brlythp@corp.io,SEG04,2.92
ACC-000298,2022-04-07,292.13,139,diozr@corp.io,SEG04,7.45
ACC-000299,2023-09-20,8560.78,176,dzbz@yahoo.com,SEG02,1.86
ACC-000300,2024-07-31,6679.53,60,kjujoqea@gmail.com,SEG05,3.34
ACC-000301,2022-07-08,7120.83,82,dmvwv@yahoo.com,SEG05,3.82
ACC-000302,2024-02-25,9518.31,97,yqguwa@yahoo.com,SEG01,3.53
ACC-000303,2024-04-04,6603.37,73,urfgughd@yahoo.com,SEG05,9.38
ACC-000304,2023-12-01,6440.05,163,tkixycwf@yahoo.com,SEG02,2.62
ACC-000305,2023-10-01,5073.26,25,upmynkl@outlook.com,SEG01,8.72
ACC-000306,2024-05-22,1329.15,140,gfziyr@outlook.com,SEG02,9.83
ACC-000307,2023-05-21,6348.92,156,ghryoyue@gmail.com,SEG05,7.3
ACC-000308,2023-06-28,8679.89,74,byrixtw@corp.io,SEG02,2.71
ACC-000309,2023-04-10,1280.34,82,qgai@corp.io,SEG03,1.55
ACC-000310,2022-08-30,8023.38,157,ngbw@corp.io,SEG05,1.67
ACC-000311,2023-11-10,3037.23,113,swhslk@yahoo.com,SEG04,6.72
ACC-000312,2022-09-22,5647.88,170,telk@corp.io,SEG05,3.04
ACC-000313,2024-02-04,5607.31,35,ldada@gmail.com,SEG03,4.07
ACC-000314,2023-04-22,6819.44,101,ybsqip@gmail.com,SEG05,5.61
ACC-000315,2023-09-11,3646.36,110,ipgk@outlook.com,SEG03,5.36
ACC-000316,2022-12-26,9047.58,140,ctpmft@corp.io,SEG02,7.78
ACC-000317,2022-11-20,7080.03,103,kgiwk@corp.io,SEG05,2.48
ACC-000318,2024-04-11,6426.19,123,ungl@outlook.com,SEG03,6.29
ACC-000319,2023-09-30,8913.03,95,dpbg@gmail.com,SEG03,5.61
ACC-000320,2022-08-10,3854.58,95,kiduw@gmail.com,SEG04,5.66
ACC-000321,2024-07-14,4649.78,143,tbfhl@outlook.com,SEG05,3.67
ACC-000322,2022-10-20,7456.03,88,puxw@corp.io,SEG03,4.71
ACC-000323,2023-11-30,7913.23,147,vjxubv@outlook.com,SEG01,1.8
ACC-000324,2024-04-07,3017.28,31,thdixih@corp.io,SEG03,2.22
ACC-000325,2024-08-14,2892.95,72,zlba@outlook.com,SEG03,7.57
ACC-000326,2022-04-22,1310.61,33,fhwqw@gmail.com,SEG04,8.69
ACC-000327,2023-06-01,8295.23,173,zlocfdqz@corp.io,SEG03,5.21
ACC-000328,2024-10-02,3825.45,88,cyckcw@yahoo.com,SEG02,5.48
ACC-000329,2023-06-04,8929.4,61,uavo@gmail.com,SEG01,8.52
ACC-000330,2023-02-10,1711.97,15,gepxodl@yahoo.com,SEG02,1.88
ACC-000331,2023-12-10,667.97,199,hmstj@outlook.com,SEG01,9.45
ACC-000332,2024-06-18,1400.31,10,gkjxtv@gmail.com,SEG03,1.39
ACC-000333,2023-03-30,4104.57,81,wytefv@yahoo.com,SEG01,2.54
ACC-000334,2022-04-27,2836.47,59,vtjytft@gmail.com,SEG05,6.22
ACC-000335,2023-05-10,79.12,130,pnjihl@corp.io,SEG03,8.36
ACC-000336,2023-09-10,9733.28,184,rcee@yahoo.com,SEG01,8.28
ACC-000337,2024-04-05,827.63,165,yhebq@corp.io,SEG05,6.27
ACC-000338,2022-02-13,4641.14,130,dtlxnieh@gmail.com,SEG04,5.98
ACC-000339,2022-11-14,5533.26,191,aldq@corp.io,SEG01,4.75
ACC-000340,2022-10-26,9103.02,56,xbevuotj@outlook.com,SEG02,5.98
ACC-000341,2024-03-27,4670.21,104,fozqqsxk@yahoo.com,SEG04,8.44
ACC-000342,2023-03-30,8964.54,182,ofcvzmw@yahoo.com,SEG04,8.69
ACC-000343,2022-04-11,388.52,135,ftdbckw@gmail.com,SEG04,9.09
ACC-000344,2024-07-19,5227.24,98,uhzpkvpl@gmail.com,SEG05,8.43
ACC-000345,2022-07-23,6175.08,72,tyks@gmail.com,SEG05,1.57
ACC-000346,2024-05-24,987.42,37,zoxeyz@gmail.com,SEG02,1.37
ACC-000347,2024-11-21,6153.0,36,fhpohb@yahoo.com,SEG02,2.31
ACC-000348,2024-05-19,5968.59,3,imgiqd@corp.io,SEG05,9.44
ACC-000349,2023-04-18,1141.86,34,rlehxfjn@gmail.com,SEG01,8.01
ACC-000350,2022-04-03,7587.1,98,vrcp@gmail.com,SEG02,7.99
