account_id,created_date,account_balance,login_count,email_address,segment_id,satisfaction_score
ACC-000076,2022-04-08,1060.58,30,vyvzfpzq@corp.io,SEG04,4.24
ACC-000077,2023-10-19,3939.19,174,fumti@corp.io,SEG05,9.24
ACC-000078,2022-02-01,112.22,79,lmftp@yahoo.com,SEG01,4.92
ACC-000079,2022-10-29,5027.78,180,ycpgkxd@corp.io,SEG02,1.94
ACC-000080,2024-07-21,4487.15,2,jxqp@corp.io,SEG01,2.88
ACC-000081,2024-03-11,1062.89,88,rpaga@corp.io,SEG01,7.51
ACC-000082,2022-09-23,232.36,149,ditcqr@outlook.com,SEG04,6.85
ACC-000083,2024-06-25,3581.0,167,ibygatce@outlook.com,SEG05,2.02
ACC-000084,2024-09-23,3969.31,123,ybszep@outlook.com,SEG03,5.98
ACC-000085,2023-11-26,3906.79,130,bhwdjqfn@outlook.com,SEG04,8.01
ACC-000086,2024-01-17,9563.38,45,ijjxd@outlook.com,SEG01,4.78
ACC-000087,2023-02-05,7867.46,88,nhez@outlook.com,SEG02,9.07
ACC-000088,2022-01-09,9877.87,187,wmovc@yahoo.com,SEG02,9.09
ACC-000089,2023-01-10,7101.68,35,ovcvsf@gmail.com,SEG03,4.98
ACC-000090,2023-04-30,4877.6,197,ciwpsuj@yahoo.com,SEG01,4.22
ACC-000091,2023-08-23,7637.22,82,eykitq@gmail.com,SEG03,7.64
ACC-000092,2024-06-27,2899.04,39,miwp@yahoo.com,SEG03,1.28
ACC-000093,2023-05-24,3000.28,198,vrzyk@gmail.com,SEG01,3.58
ACC-000094,2023-10-16,4686.48,33,wvegid@yahoo.com,SEG05,5.73
ACC-000095,2022-09-09,841.36,1,wgxooa@yahoo.com,SEG02,6.55
ACC-000096,2024-04-11,1702.9,54,vknadtbd@corp.io,SEG05,9.7
ACC-000097,2024-08-03,9626.55,172,ggvn@gmail.com,SEG01,7.98
ACC-000098,2024-10-16,7234.95,28,errtunw@outlook.com,SEG03,8.75
ACC-000099,2024-12-03,7469.97,63,lxmn@corp.io,SEG04,7.65
ACC-000100,2023-02-18,5477.28,26,gqbxtjqd@yahoo.com,SEG01,4.89
ACC-000101,2022-12-26,5376.7,93,onchwoe@yahoo.com,SEG03,5.72
ACC-000102,2024-03-29,9619.02,166,ryars@corp.io,SEG05,6.02
ACC-000103,2023-01-26,4281.08,174,cmopvcqm@outlook.com,SEG04,7.96
ACC-000104,2023-05-08,9642.51,191,ezxnhz@gmail.com,SEG05,2.95
ACC-000105,2022-06-22,2942.15,113,xvgv@yahoo.com,SEG02,7.6
ACC-000106,2023-12-02,158.52,158,xbmcdxet@yahoo.com,SEG03,4.37
ACC-000107,2024-03-24,9197.63,88,ymdcsnv@outlook.com,SEG05,4.67
ACC-000108,2022-12-31,8523.27,26,mhnav@gmail.com,SEG04,6.09
ACC-000109,2023-10-19,4050.62,10,gile@outlook.com,SEG05,8.71
ACC-000110,2023-07-29,8913.6,23,rkgqlp@corp.io,SEG02,8.6
ACC-000111,2023-10-15,9129.55,61,iborimoj@outlook.com,SEG03,3.87
ACC-000112,2024-05-04,3929.85,79,wphnplgv@gmail.com,SEG02,5.18
ACC-000113,2022-08-28,9239.14,105,wspscxg@gmail.com,SEG03,8.47
ACC-000114,2023-08-12,6027.3,33,sbnrzfy@gmail.com,SEG01,6.98
ACC-000115,2022-04-20,5971.92,174,ocsk@outlook.com,SEG03,1.28
ACC-000116,2023-02-13,4580.42,186,ooeqz@yahoo.com,SEG04,1.57
ACC-000117,2024-04-12,2132.38,124,mgbi@corp.io,SEG02,7.46
ACC-000118,2022-09-16,4656.69,73,firw@gmail.com,SEG03,4.21
ACC-000119,2023-11-21,7096.64,78,vsblyy@outlook.com,SEG01,2.96
ACC-000120,2024-09-13,4813.43,175,ntfj@gmail.com,SEG05,1.71
ACC-000121,2022-10-12,3532.8,92,rakhc@outlook.com,SEG01,4.14
ACC-000122,2023-08-04,8973.98,151,vvpsyp@outlook.com,SEG05,6.04
ACC-000123,2024-09-27,8008.85,86,osveut@outlook.com,SEG01,5.88
ACC-000124,2024-01-13,8855.18,194,ixikbme@gmail.com,SEG04,7.25
ACC-000125,2023-02-12,2530.37,128,egsjctk@yahoo.com,SEG02,8.42
ACC-000126,2024-07-18,8112.99,10,gxuuc@outlook.com,SEG01,5.77
ACC-000127,2023-04-06,4333.19,195,uifqb@corp.io,SEG01,7.73
ACC-000128,2023-03-31,1757.4,171,gmxir@corp.io,SEG04,2.23
ACC-000129,2022-01-16,6993.83,74,istvhosu@outlook.com,SEG04,9.09
ACC-000130,2022-09-22,5269.83,197,yxohlzja@outlook.com,SEG03,2.03
ACC-000131,2023-02-17,3594.72,137,ssxr@gmail.com,SEG04,7.51
ACC-000132,2023-10-03,3843.33,61,xfxbx@corp.io,SEG02,8.33
ACC-000133,2024-12-10,5690.56,80,mzqoggw@gmail.com,SEG02,9.31
ACC-000134,2024-06-05,9745.68,9,efbdyo@gmail.com,SEG04,2.25
ACC-000135,2024-11-22,819.26,105,omzi@outlook.com,SEG05,8.75
ACC-000136,2024-04-26,9288.87,195,lzjrbi@gmail.com,SEG05,9.58
ACC-000137,2023-06-06,3796.92,128,nutbnkyz@yahoo.com,SEG03,1.45
ACC-000138,2022-04-15,810.56,148,dnfgoe@outlook.com,SEG04,5.66
ACC-000139,2022-08-04,2389.77,79,ffjhh@outlook.com,SEG03,2.17
ACC-000140,2022-02-08,8865.44,26,cvyjsp@yahoo.com,SEG01,1.27
ACC-000141,2024-06-21,1417.33,187,jhox@outlook.com,SEG04,3.52
ACC-000142,2024-11-09,4609.84,122,jlxhk@outlook.com,SEG03,9.91
ACC-000143,2022-09-03,2929.36,41,yhnoycfg@gmail.com,SEG03,5.61
ACC-000144,2022-12-04,5257.18,85,dtstnwxp@gmail.com,SEG05,8.53
ACC-000145,2022-05-02,6329.75,110,tlrw@corp.io,SEG03,7.06
ACC-000146,2022-11-08,5762.25,160,meyq@gmail.com,SEG05,8.98
ACC-000147,2023-02-25,8247.08,111,oigw@corp.io,SEG05,8.46
ACC-000148,2024-06-08,5291.4,11,vtcjggv@yahoo.com,SEG04,7.24
ACC-000149,2023-06-26,7491.1,83,fnlx@gmail.com,SEG05,8.17
ACC-000150,2022-07-04,5652.09,17,adtp@yahoo.com,SEG05,9.66
